key,english,current_shona_draft,keep_english_only,shona_final_fill_here
brand.tagline,Ride Harare. Keep your change.,Famba muHarare. Chenji yako haichararasika.,YES,
nav.signIn,Sign in,Pinda,no,
landing.headline1,Beyond the,Kupfuura,YES,
landing.headlineWord,Kombi,Kombi,YES,
landing.body,"Plan every trip, get smart suggestions before you leave, and ride with your safety looked after.","Ronga rwendo rwega rwega, uwane mazano usati wasimuka, uye ufambe takachengetedza kuchengeteka kwako.",no,
landing.cta,Find your kombi,Tsvaga kombi yako,no,
landing.statChange,Change kept,Chenji yakachengetwa,no,
landing.statWeek,this week,svondo rino,no,
landing.signinHint,Hwindi or fleet owner?,Uri hwindi kana muridzi?,no,
landing.signinLink,Sign in here,Pinda pano,no,
landing.demoLead,"Walk straight in as Tino, a demo rider on the live system. No sign up.","Pinda pakarepo saTino, mufambi wekuratidzira pane system chaiyo. Hapana kunyoresa.",no,
landing.demoEnter,Enter the demo,Pinda mudemo,no,
landing.demoOwner,Owner dashboard,Dashboard yemuridzi,no,
landing.shelfReal,"Real stories, real money on the live system","Nyaya chaidzo, mari chaiyo pasisitimu mhenyu",no,
landing.shelfIntel,"The intelligence, three spines with their evidence","Njere dzacho, misana mitatu neuchapupu hwayo",no,
landing.intelEta,How Svika knows your arrival,Svika inoziva sei kusvika kwako,no,
landing.intelTakunda,"Takunda's alert, the learned routine","Yeuchidzo yaTakunda, tsika yakadzidzwa",no,
landing.intelWatchdog,The watchdog catches a leak,Murindi anobata kuvhaya,no,
landing.shelfVision,"Vision scenes, simulations of what ships next","Zviratidzo zveramangwana, kufananidzira kwezvinotevera",no,
landing.visionTinashe,"The crash flow, Tinashe","Tsaona, Tinashe",no,
landing.visionGogo,Gogo's mbudzi,Mbudzi yaGogo,no,
landing.visionCapacity,Kombi capacity,Kuzara kwekombi,no,
landing.demoStory1,Change becomes credit,Chenji inova mari,no,
landing.demoStory2,Two kombis and a walk,Makombi maviri nekufamba,no,
landing.demoStory4,Rudo's night ride,Rwendo rwehusiku rwaRudo,no,
landing.demoErr,The demo door is busy. Try again in a minute.,Mukova wedemo wakabatikana. Edzazve munguva pfupi.,no,
demo.chip,Demo account,Akaunti yekuratidzira,no,
story.next,Next,Enderera,no,
story.back,Back a step,Dzokera danho,no,
story.stay,Stay and explore,Gara uzvionere,no,
story.shelf,Back to the stories,Dzokera kunyaya,no,
story.live,Now try it yourself. Everything on this screen is live.,Zviedze wega manje. Zvese zviri pano zvinoshanda.,no,
story.liveVision,Now try it yourself. This scene is a simulation and touches no real account.,"Zviedze wega manje. Ichi chiratidzo chekufananidzira, hachibate akaunti chaiyo.",no,
story.exit,Exit story,Buda munyaya,no,
story.err,"That step could not run. Try next again, or exit the story.","Danho iri harina kushanda. Edzazve, kana kubuda munyaya.",no,
story.town.0,Meet Tino. She rides this corridor into town most mornings. Watch one normal trip.,Uyu ndiTino. Anokwira nzira iyi achienda kutown mangwanani mazhinji. Ona rwendo rumwe chete.,no,
