key,final_sn
brand.tagline,Ride Harare. Keep your change.
nav.signIn,Sign in
landing.headline1,Beyond the
landing.headlineWord,Kombi
landing.body,"Ronga rwendo rwako, wana mazano usati wasimuka, uye famba wakachengeteka."
landing.cta,Tsvaga kombi yako
landing.statChange,Chenji yakachengetwa
landing.statWeek,svondo rino
landing.signinHint,Hwindi or fleet owner?
landing.signinLink,Sign in here
landing.demoLead,"Pinda saTariro, arikungo tester system. Hapana kunyoresa."
landing.demoEnter,Pinda mudemo
landing.demoOwner,Dashboard yemuridzi
landing.shelfReal,"Nyaya chaidzo, mari chaiyo pasystem iri kushanda"
landing.shelfIntel,"Njere dzacho, misana mitatu neumbowo hwayo"
landing.intelEta,Kuziva kunoita Svika kuti unosvika nguvai
landing.intelTakunda,"Yeuchidzo yaTakunda, zvayakadzidza"
landing.intelWatchdog,Murindi anobata pabiwa mari
landing.shelfVision,"Zviratidzo zveramangwana, nezviri kuuya"
landing.visionTinashe,"Zvekuita paita tsaona, Tinashe"
landing.visionGogo,Mbudzi yaGogo
landing.visionCapacity,Kuzara kwekombi
landing.demoStory1,Chenji inova kiredhiti
landing.demoStory2,Makombi maviri nekufamba
landing.demoStory4,Rwendo rwaRudo rwehusiku
landing.demoErr,Demo yakabatikana pari zvino. Edza zvakare mupfupi.
demo.chip,Akaunti yedemo
login.title,Sign in to Svika
login.phoneLabel,Phone number
login.send,Send code
login.sending,Sending…
login.codeLabel,Enter the 6-digit code
login.verify,Verify
login.verifying,Verifying…
login.resend,Send a new code
login.codeSentTo,We sent a code to
login.errPhone,Enter a valid phone number.
login.errCode,That code did not work. Try again.
app.welcome,Titambire
app.roleLabel,Basa rako
app.phoneLabel,Foni
app.signOut,Sign out
role.rider,Mufambi
role.owner,Muridzi
role.conductor,Hwindi
common.back,Back
common.minutes,maminitsi
common.to,kusvika
rider.searchTitle,Where are you going?
rider.fromLabel,Kubva
rider.toLabel,Kuenda
rider.fromPlaceholder,"sekuti Heights, UZ, Market Square"
rider.toPlaceholder,"sekuti Avondale, Sam Levy's, town"
rider.planCta,Ronga rwendo rwangu
rider.walletBalance,Mari muWallet
rider.tickets,Matikiti ako
rider.noTickets,Hapana matikiti. Ronga rwendo kuti utore tikiti.
plan.title,Your trip
plan.sheetOpen,Wona zvikamu zverwendo urwu
plan.ride,Kufamba
plan.walk,Kufamba netsoka
plan.alightAt,Burukira pa
plan.totalFare,Mari yese
